"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"4508","ZENZONA","zenzona Vegan Gummies Brazilian Grape 100mg RSO - Indica (SAMPLE)","Indica","221227-002-JA","34283","12/27/2022","https://lims.tagleaf.com/coas/35DMKjghEPe2mqMulMyhsNA1FhBvoIjT1VuClDl5t2geeAvj80","Forever 46, LLC - 00000057DCHF00477864","","",NA,NA,"2/5/2023"
"4509","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-003-PB","50745","12/27/2022","https://tinyurl.com/bdfzppm6","Forever 46, LLC - 00000057DCHF00477864","","","10/4/2023",NA,"10/4/2023"
"4510","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-003-PB","50745","12/27/2022","https://tinyurl.com/bdfzppm6","Forever 46, LLC - 00000057DCHF00477864","","","10/4/2023",NA,"10/4/2023"
"4511","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-003-PB","50745","12/27/2022","https://tinyurl.com/bdfzppm6","Forever 46, LLC - 00000057DCHF00477864","","","10/4/2023",NA,"10/4/2023"
"4512","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-003-PB","50745","12/27/2022","https://tinyurl.com/bdfzppm6","Forever 46, LLC - 00000057DCHF00477864","","","10/4/2023",NA,"10/4/2023"
"4513","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","43277","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","6/6/2023",NA,"6/6/2023"
"4514","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","43277","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","6/6/2023",NA,"6/6/2023"
"4515","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","43277","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","6/6/2023",NA,"6/6/2023"
"4516","DTF - Downtown Flower","Larry Lem OG 28g - Value","Larry Lem OG","Larry Lem OG-221227.0001","35081","12/27/2022","","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/21/2023",NA
"4517","DTF - Downtown Flower","Larry Lem OG 28g - Value","Larry Lem OG","Larry Lem OG-221227.0001","35081","12/27/2022","","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4518","DTF - Downtown Flower","Larry Lem OG 28g - Value","Larry Lem OG","Larry Lem OG-221227.0001","35081","12/27/2022","","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/21/2023",NA
